category_index,category_id,index_of_parent_category,category name
9078,n10258786,9074,licentiate
9080,n09873348,8570,brawler
9089,n10262445,9086,lightweight
9091,n10098624,9082,flyweight
9092,n10674713,9082,sumo wrestler
9093,n09838621,9082,bantamweight
9094,n10047459,8573,"egotist, egoist, swellhead"
9096,n10740868,8573,"upstart, parvenu, nouveau-riche, arriviste"
9097,n09872066,9094,"bragger, braggart, boaster, blowhard, line-shooter, vaunter"
9098,n10070711,9094,"exhibitionist, show-off"
9100,n10421016,8575,"Pharaoh, Pharaoh of Egypt"
9102,n10588357,8575,"sheik, tribal sheik, sheikh, tribal sheikh, Arab chief"
9112,n10583387,8579,"settler, colonist"
9113,n10718131,8579,"tourist, tourer, holidaymaker"
9115,n10147121,8579,gringo
9122,n10178216,9108,"hitter, striker"
9123,n10563403,9108,scrambler
9132,n10084295,8582,"female child, girl, little girl"
9133,n10787470,8582,"woman, adult female"
9135,n10131151,8582,girl wonder
9136,n09871681,9132,Boy Scout
9137,n09981939,9132,Cub Scout
9138,n10055410,9133,"enchantress, temptress, siren, Delilah, femme fatale"
9139,n10243137,9133,lady
9140,n10377021,9133,old woman
9141,n10368528,9133,"nymph, houri"
9142,n10025635,9133,donna
9144,n10613996,9133,"smasher, stunner, knockout, beauty, ravisher, sweetheart, peach, lulu, looker, mantrap, dish"
9145,n10472129,9133,"primigravida, gravida I"
9146,n10598181,9133,signorina
9147,n10129825,9133,"girl, miss, missy, young lady, young woman, fille"
9148,n09847543,9133,"beldam, beldame"
9149,n10173410,9133,heroine
9150,n10780284,9133,"widow, widow woman"
9151,n09889065,9133,call girl
9152,n09832456,9133,baggage
9154,n10117851,9147,gal
9155,n09827363,9147,"baby, babe, sister"
9156,n10247358,9147,"lass, lassie, young girl, jeune fille"
9157,n10282482,9147,"maid, maiden"
9159,n10375314,9153,old lady
9168,n10236304,8585,"kin, kinsperson, family"
9172,n10357613,9163,niece
9173,n09823502,9163,"aunt, auntie, aunty"
9175,n10602985,9163,"sister, sis"
9176,n10145239,9163,"great-aunt, grandaunt"
9177,n10267865,9175,little sister
9180,n10102800,9164,"forefather, father, sire"
9182,n10406391,9164,patriarch
9183,n10300500,9179,mater
9185,n10332385,9179,"mother, female parent"
9186,n09988063,9184,"dad, dada, daddy, pa, papa, pappa, pop"
9187,n10375402,9184,old man
9190,n10145590,9181,great grandmother
9193,n10142391,9189,"grandfather, gramps, granddad, grandad, granddaddy, grandpa"
9194,n10146002,9165,"great-nephew, grandnephew"
9195,n10267311,9165,little brother
9197,n10092643,9170,"firstborn, eldest"
9198,n09918248,9170,"child, kid"
9200,n10141732,9196,granddaughter
9201,n10145340,9196,great grandchild
9205,n10135129,9204,godson
9206,n10465451,9204,"premature baby, preterm baby, premature infant, preterm infant, preemie, premie"
9207,n10353016,9204,"neonate, newborn, newborn infant, newborn baby"
9910,n10768903,8547,washer
9985,n10710913,8547,tiler
10467,n09909660,8547,charcoal burner
10926,n10146416,8914,Green Beret
